Rank,Club,Points,MP,Wins,Ties,Loses,GF,GA,GD
1,Arsenal,33,15,10,3,2,28,9,19
2,Man City,31,15,10,1,4,35,16,19
3,Aston Villa,30,15,9,3,3,22,15,7
4,Chelsea,25,15,7,4,4,25,15,10
5,Everton,24,15,7,3,5,18,17,1
6,Crystal Palace,23,14,6,5,3,18,11,7
7,Sunderland,23,15,6,5,4,18,17,1
8,Liverpool,23,15,7,2,6,24,24,0
9,Tottenham,22,15,6,4,5,25,18,7
10,Brighton,22,14,6,4,4,24,20,4
11,Newcastle,22,15,6,4,5,21,19,2
12,Man Utd,22,14,6,4,4,22,21,1
13,Bournemouth,20,15,5,5,5,21,24,-3
14,Brentford,19,15,6,1,8,21,24,-3
15,Fulham,17,14,5,2,7,19,22,-3
16,Leeds,15,15,4,3,8,19,29,-10
17,Nott'm Forest,15,15,4,3,8,14,25,-11
18,West Ham,12,14,3,3,8,16,28,-12
19,Burnley,10,15,3,1,11,16,30,-14
20,Wolves,2,14,0,2,12,7,29,-22
